Country,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
Bulgaria,krapetz,Black Sea,5850,Sandy,,,1,,8,31,2,4,,1,,1,,,,,,,16,3,13,,2,25,1,,5,1,6,43,2,4,5,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,,7,6,6,10,1,,,,,,,4,,,,,,,,,1,
Bulgaria,krapetz,Black Sea,5850,Sandy,,12,1,,10,9,,2,3,,,1,,,,,,22,,28,2,20,4,474,1,,12,2,1,29,,9,6,5,,,,,,,,,2,8,,,1,,,,,,3,,,2,,13,2,,,1,,1,204,9,8,,8,,,,,,,7,,,1,,6,3,,,,
Bulgaria,krapetz,Black Sea,5850,Sandy,,27,7,,3,8,1,9,,1,,,,,,,,8,,12,11,5,2,42,,,11,1,3,,1,6,,,,,,,,,,,,4,,1,,1,,,,,,,,,,2,,,,2,,,34,4,,,,,,,,,,1,,,,,1,,,,,2
Bulgaria,krapetz,Black Sea,5850,Sandy,,15,60,,18,46,,9,10,5,,,5,1,,,,63,6,102,,2,5,407,1,,86,,3,49,4,6,,,,,,,,,,,7,3,,,,,,,,,,,,1,,3,,,,4,,,30,,38,2,,,,,,,,10,2,,,,1,,,1,2,
Italy,San Mauro Cilento (SA),Unknown,100,,,5,6,,13,19,13,6,4,2,,,2,3,3,2,1,98,37,8,27,2,4,16,2,3,,7,6,15,7,2,,,,,1,,,,,,2,8,,4,2,4,2,,1,1,4,,,1,1,,,,1,2,,1,,,74,1,62,3,,,,,,3,,,,,12,,,,,2
Italy,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",Mediterranean Sea,100,,,,15,,33,28,6,5,,4,,3,1,,1,,,117,,,,,4,2,4,,,,,,10,,,,,,,,,,,,,,,,2116,,,,1,61,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,2,2,,12,8
,"7 Place Salvador Allende, 94000 Cr?teil, France",Unknown,750,,,25,,,2,1,,20,,,,,,,,,,40,,,,,2,2330,,,50,2,1,5,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,,,,1,,,,,,,1,,1,1,,,222,3,,11,3,1,1,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,5,,,,,,,,,29,,,,,,,1,,,,,,,,,,,,
Greece,"Agia Galini, Crete (port)",Mediterranean Sea,84,Rocky,,9,,,31,,,7,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Italy,"Spiaggia della Bandita, Palermo (PA)",Mediterranean Sea,100,,,30,,,,300,50,,,,10,,,,1,10,15,50,,,,,3,100,,,14,,15,50,30,,,,,2,,,,,,,,,,3,3,1,,25,1,,,,,,,,,,,30,,5,1,10,10,,,,,,,,,,,,,,4,,,,1,3
France,"12 Promenade Pierre D?port, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,10,,,,10,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10,,,,,,,,,,1,,,,,,,,50,,,,,,,,,,,,,,,,,
,"Avenue Lieutenant colonel faro, 19000 Tulle, France",,78,,,30,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,3
Bulgaria,Bolata,Black Sea,166,Other (mixed),,1,2,,3,,,2,,,,,,,,,,7,,,,,,87,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,
Switzerland,sorne_birse_WWFJura,,16,Pebbels,,1,,,,,,,,,,,,,,,,,,1,,,,38,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
Switzerland,sorne_birse_WWFJura,,16,Pebbels,,1,2,,1,,,,,,,,,,,,,3,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Switzerland,sorne_birse_WWFJura,,16,Pebbels,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,19,7,,13,20,3,2,1,3,,1,2,,,1,,53,4,33,,3,9,20,1,,15,,8,23,1,10,,,,,,,,,,,4,1,1,,,2,,,,,,,,,,,,,,3,,1,23,2,17,,,,,,,,,,1,,,,,,,,,
Georgia,Maltakva,Black Sea,52,Sandy,,11,,,46,24,12,21,,4,,3,,1,5,,3,48,6,10,,,13,,2,4,21,9,10,14,,9,,,,,,,,,,,,6,,,,,,,,,,,,3,,,,,2,,,4,51,34,,,,,,,,,,17,,,,,,,,,2,12
Georgia,Maltakva,Black Sea,52,Sandy,,20,,,35,26,20,7,,6,,1,,10,4,,4,26,25,,,2,7,30,,,10,12,3,11,,7,,,,,,,,,,,,14,,,,2,,,,,,,,,,5,,,1,6,,16,,1,72,,40,,,,,,,41,,,,,,3,,2,3,10
Georgia,Maltakva,Black Sea,52,Sandy,,48,,,46,41,17,8,,,,,,5,1,,1,89,,15,8,,5,,,,21,6,10,5,,,,1,,,,,,,,,,12,,,,,,,,,,,,,,16,,1,4,7,,6,95,1,135,6,,,,,,,1,44,,,,,5,10,,,8,22
France,"Piscine, 63 Avenue de la Combattante, 14470 Courseulles-sur-Mer, France",North-east Atlantic Ocean,72,,,10,,,,,,10,,,,,,,,,,15,,,,,,20,,,,20,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,5,3,,,,,,,10,,,,,,,,,,,,,,,,,
Italy,Marina di Castagneto,Mediterranean Sea,111,,6,2,2,2,6,6,2,6,2,2,,,,1,2,1,,6,6,6,6,2,2,18,1,1,6,6,2,6,6,6,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,,,,1,4,2,2,2,2,1,2,2,,,2,2,18,18,2,2,2,2,2,2,1,2,2,4,15,,4,,1,3
France,"2736 Boulevard de la Marine, 83400 Hyères, France",Mediterranean Sea,81,,,221,,,23,10,,237,,,,,,,,,,94,,,,,,242,,,35,12,,115,,35,,,,,,,,,,,,,,,,15,,,13,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,10,,,,,
Spain,"Carretera Cartagena Los Alcázares, 30710 Los Alcázares, Espagne",Mediterranean Sea,90,,,40,,,6,19,,47,,,,,,,,,,77,,,,,,28,,,22,2,2,58,3,29,,,,,,,,,,,,6,,,,16,,,,,,,,,,,,,,3,,,,,35,,55,,,,,,,,,,,,,,,,,3
Italy,"1 Parco del Conero, 60020 Sirolo, Italie",Mediterranean Sea,81,,,200,,,50,50,,100,,,,,,,,,,100,,,,,20,200,,,10,70,40,70,30,20,,,,,,,,,,,,80,,,,100,,,200,,,,,,,,,,2,15,,,,,100,,100,,,,,,,,,,,,100,,,,,50
Spain,"Torre de Cope, 30889 ?guilas, Murcia, Espa?a",Mediterranean Sea,150,,,203,,,1,,,1,,,3,,,,,,,81,,,,,3,31,,,53,3,1,16,3,27,,,,,,,,,,,,,,,,113,,,1,,,,,,,,,,,,,,,,427,,145,,,,,,,,,,,,4,,,,,1
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,1,,,1,,1,,,,,,,,,,,,,,,,3,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,,,1,,,,,,,,,,,,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,1,,,1,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,katzenbach_zuerich_sanesim,,99,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,
