country,value
Albania,19828
Algeria,180214
Angola,55728
Antigua and Barbuda,151
Argentina,6262
Australia,2754
Bahamas,149
Bahrain,212
Bangladesh,355502
Barbados,302
Belgium,22
Belize,16390
Benin,33554
Brazil,634888
Brunei Darussalam,733
Bulgaria,120
Cabo Verde,996
Cambodia,2240
Cameroon,70773
Canada,449
Chile,1950
China,2622299
Colombia,47917
Comoros,25582
Congo,9851
Costa Rica,4719
Cote d'Ivoire,60457
Croatia,4007
Cyprus,143
Democratic People's Republic of Korea,9741
Democratic Republic of the Congo,161
Denmark,140
Djibouti,3352
Dominica,382
Dominican Republic,77384
Ecuador,31530
Egypt,231991
El Salvador,9761
Equatorial Guinea,5477
Eritrea,5918
Estonia,126
Fiji,2253
Finland,374
France,1257
Gabon,2305
Gambia,13960
Georgia,439
Germany,2082
Ghana,114306
Greece,29349
Grenada,595
Guatemala,22038
Guinea,26610
Guinea-Bissau,11830
Guyana,14887
Haiti,84912
Honduras,28311
Iceland,16
India,1056001
Indonesia,535163
Iran (Islamic Republic of),11269
Ireland,506
Israel,2598
Italy,6761
Jamaica,16981
Japan,2931
Kenya,8055
Kiribati,18
Kuwait,13141
Latvia,199
Lebanon,21964
Liberia,15030
Libya,80149
Lithuania,70
Madagascar,2291
Malaysia,339437
Maldives,115
Malta,106
Mauritania,3002
Mauritius,57
Mexico,35359
Micronesia (Federated States of),183
Montenegro,1965
Morocco,44650
Mozambique,74006
Myanmar,230387
Namibia,435
Netherlands,7551
New Zealand,85
Nicaragua,19107
Nigeria,517377
Norway,156
Oman,260
Pakistan,57441
Palau,47
Panama,17849
Papua New Guinea,37386
Peru,40264
Philippines,1631062
Poland,455
Portugal,648
Qatar,910
Republic of Korea,3406
Romania,1777
Russian Federation,21446
Saint Kitts and Nevis,23
Saint Lucia,1639
Saint Vincent and the Grenadines,477
Samoa,788
Sao Tome and Principe,1332
Saudi Arabia,4377
Senegal,22147
Seychelles,22
Sierra Leone,24860
Solomon Islands,30405
Somalia,2296
South Africa,31862
Spain,6288
Sri Lanka,45035
Sudan,11847
Suriname,11041
Sweden,546
Syrian Arab Republic,3339
Thailand,349148
Timor-Leste,6093
Togo,33189
Tonga,232
Trinidad and Tobago,35383
Tunisia,96337
Turkey,392369
Ukraine,26622
United Arab Emirates,2798
United Kingdom of Great Britain and Northern Ireland,6500
United Republic of Tanzania,120901
United States of America,17744
Uruguay,120598
Vanuatu,931
Venezuela (Bolivarian Republic of),240071
Viet Nam,499309
Yemen,36954
