,Country,Year,GDP_per_capita,Population,Metric_Tons
0,Albania,2017,12770.9638671875,2884169.0,16481.0
1,Albania,2018,13317.0927734375,2882735.0,18094.0
2,Albania,2019,13656.5927734375,2880913.0,18500.0
3,Albania,2020,13191.9521484375,2877800.0,20157.0
4,Algeria,2017,11737.4013671875,41389174.0,153459.0
5,Algeria,2018,11630.6796875,42228415.0,144421.0
6,Algeria,2019,11521.984375,43053054.0,157950.0
7,Algeria,2020,10735.3828125,43851043.0,175154.0
8,Angola,2017,7310.896484375,29816769.0,48632.0
9,Angola,2018,6933.5,30809787.0,50225.0
10,Angola,2019,6670.33154296875,31825299.0,52877.0
11,Angola,2020,6110.2744140625,32866267.0,54660.0
12,Antigua and Barbuda,2017,19840.283203125,95425.0,175.0
13,Antigua and Barbuda,2018,21017.263671875,96282.0,185.0
14,Antigua and Barbuda,2019,21850.1328125,97115.0,172.0
15,Antigua and Barbuda,2020,17293.302734375,97928.0,144.0
16,Argentina,2017,23597.1171875,43937143.0,4135.0
17,Argentina,2018,22747.2421875,44361150.0,4473.0
18,Argentina,2019,22066.1015625,44780675.0,4847.0
19,Argentina,2020,19690.662109375,45195777.0,5804.0
20,Australia,2017,48398.55078125,24584619.0,2522.0
21,Australia,2018,49029.10546875,24898153.0,2498.0
22,Australia,2019,49309.11328125,25203200.0,2920.0
23,Australia,2020,48678.68359375,25499881.0,2857.0
24,Bahamas,2017,35917.7578125,381749.0,217.0
25,Bahamas,2018,36539.66015625,385635.0,193.0
26,Bahamas,2019,36432.51953125,389486.0,179.0
27,Bahamas,2020,30846.583984375,393248.0,159.0
28,Bahrain,2017,47709.77734375,1494077.0,189.0
29,Bahrain,2018,46389.265625,1569440.0,197.0
30,Bahrain,2019,45311.86328125,1641164.0,204.0
31,Bahrain,2020,41480.578125,1701583.0,213.0
32,Bangladesh,2017,4160.703125,159685421.0,289594.0
33,Bangladesh,2018,4440.85595703125,161376713.0,297832.0
34,Bangladesh,2019,4753.72705078125,163046173.0,315751.0
35,Bangladesh,2020,4871.4462890625,164689383.0,328407.0
36,Barbados,2017,15789.041015625,286229.0,308.0
37,Barbados,2018,15674.904296875,286640.0,303.0
38,Barbados,2019,15639.0478515625,287021.0,302.0
39,Barbados,2020,12655.4013671875,287371.0,297.0
40,Belgium,2017,50442.26953125,11419752.0,24.0
41,Belgium,2018,51126.66796875,11482180.0,19.0
42,Belgium,2019,51944.16796875,11539326.0,16.0
43,Belgium,2020,48769.7265625,11589616.0,23.0
44,Belize,2017,7193.63427734375,375775.0,14421.0
45,Belize,2018,7261.6943359375,383071.0,14955.0
46,Belize,2019,7251.88623046875,390351.0,15383.0
47,Belize,2020,6121.84326171875,397621.0,16134.0
48,Benin,2017,3044.51708984375,11175192.0,29451.0
49,Benin,2018,3160.78076171875,11485035.0,30816.0
