,Country,Year,GDP_per_capita,Population,Metric_Tons
0,Argentina,2017,23597.1171875,43937143.0,4135.0
1,Argentina,2018,22747.2421875,44361150.0,4473.0
2,Argentina,2019,22066.1015625,44780675.0,4847.0
3,Argentina,2020,19690.662109375,45195777.0,5804.0
4,Australia,2017,48398.55078125,24584619.0,2522.0
5,Australia,2018,49029.10546875,24898153.0,2498.0
6,Australia,2019,49309.11328125,25203200.0,2920.0
7,Australia,2020,48678.68359375,25499881.0,2857.0
8,Brazil,2017,14524.61328125,207833825.0,583089.0
9,Brazil,2018,14668.255859375,209469320.0,602121.0
10,Brazil,2019,14763.8720703125,211049519.0,639659.0
11,Brazil,2020,14063.982421875,212559409.0,638401.0
12,China,2017,14243.5322265625,1421021794.0,2290405.0
13,China,2018,15133.99609375,1427647789.0,2498228.0
14,China,2019,15977.6455078125,1433783692.0,2683611.0
15,China,2020,16315.8154296875,1439323774.0,2777198.0
16,Germany,2017,53071.45703125,82658409.0,1928.0
17,Germany,2018,53486.83984375,83124413.0,1696.0
18,Germany,2019,53929.640625,83517046.0,1899.0
19,Germany,2020,51423.234375,83783945.0,2071.0
20,Indonesia,2017,10935.6318359375,264650968.0,512163.0
21,Indonesia,2018,11371.7255859375,267670549.0,559428.0
22,Indonesia,2019,11811.9755859375,270625567.0,599014.0
23,Indonesia,2020,11444.9609375,273523621.0,514480.0
24,Nigeria,2017,5190.35595703125,190873247.0,456575.0
25,Nigeria,2018,5155.076171875,195874685.0,477534.0
26,Nigeria,2019,5135.49951171875,200963603.0,496837.0
27,Nigeria,2020,4916.72119140625,206139587.0,510822.0
28,Philippines,2017,8120.86865234375,105172921.0,1416321.0
29,Philippines,2018,8516.13671875,106651394.0,1572329.0
30,Philippines,2019,8914.7236328125,108116622.0,1695243.0
31,Philippines,2020,7953.58154296875,109581085.0,1703846.0
32,Saint Kitts and Nevis,2017,26982.9296875,52036.0,26.0
33,Saint Kitts and Nevis,2018,27499.02734375,52438.0,27.0
34,Saint Kitts and Nevis,2019,28602.9765625,52834.0,29.0
35,Saint Kitts and Nevis,2020,24319.36328125,53192.0,24.0
36,Seychelles,2017,27309.76171875,96418.0,20.0
37,Seychelles,2018,27529.498046875,97094.0,22.0
38,Seychelles,2019,27611.119140625,97741.0,23.0
39,Seychelles,2020,24427.712890625,98340.0,21.0
40,United Arab Emirates,2017,67183.6015625,9487206.0,2450.0
41,United Arab Emirates,2018,66968.21875,9630966.0,2599.0
42,United Arab Emirates,2019,68263.671875,9770526.0,2659.0
43,United Arab Emirates,2020,63299.421875,9890400.0,2744.0
