BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
Bulgaria,krapetz,Black Sea,5850,Sandy,,,1.0,,8.0,31.0,2.0,4.0,,1.0,,1.0,,,,,,,16.0,3.0,13.0,,2.0,25.0,1.0,,5.0,1.0,6.0,43.0,2.0,4.0,5.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,7.0,6.0,6.0,10.0,1.0,,,,,,,4.0,,,,,,,,,1.0,
Bulgaria,krapetz,Black Sea,5850,Sandy,,12.0,1.0,,10.0,9.0,,2.0,3.0,,,1.0,,,,,,22.0,,28.0,2.0,20.0,4.0,474.0,1.0,,12.0,2.0,1.0,29.0,,9.0,6.0,5.0,,,,,,,,,2.0,8.0,,,1.0,,,,,,3.0,,,2.0,,13.0,2.0,,,1.0,,1.0,204.0,9.0,8.0,,8.0,,,,,,,7.0,,,1.0,,6.0,3.0,,,,
Bulgaria,krapetz,Black Sea,5850,Sandy,,27.0,7.0,,3.0,8.0,1.0,9.0,,1.0,,,,,,,,8.0,,12.0,11.0,5.0,2.0,42.0,,,11.0,1.0,3.0,,1.0,6.0,,,,,,,,,,,,4.0,,1.0,,1.0,,,,,,,,,,2.0,,,,2.0,,,34.0,4.0,,,,,,,,,,1.0,,,,,1.0,,,,,2.0
Bulgaria,krapetz,Black Sea,5850,Sandy,,15.0,60.0,,18.0,46.0,,9.0,10.0,5.0,,,5.0,1.0,,,,63.0,6.0,102.0,,2.0,5.0,407.0,1.0,,86.0,,3.0,49.0,4.0,6.0,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,1.0,,3.0,,,,4.0,,,30.0,,38.0,2.0,,,,,,,,10.0,2.0,,,,1.0,,,1.0,2.0,
Italy,San Mauro Cilento (SA),Unknown,100,,,5.0,6.0,,13.0,19.0,13.0,6.0,4.0,2.0,,,2.0,3.0,3.0,2.0,1.0,98.0,37.0,8.0,27.0,2.0,4.0,16.0,2.0,3.0,,7.0,6.0,15.0,7.0,2.0,,,,,1.0,,,,,,2.0,8.0,,4.0,2.0,4.0,2.0,,1.0,1.0,4.0,,,1.0,1.0,,,,1.0,2.0,,1.0,,,74.0,1.0,62.0,3.0,,,,,,3.0,,,,,12.0,,,,,2.0
Italy,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",Mediterranean Sea,100,,,,15.0,,33.0,28.0,6.0,5.0,,4.0,,3.0,1.0,,1.0,,,117.0,,,,,4.0,2.0,4.0,,,,,,10.0,,,,,,,,,,,,,,,,2116.0,,,,1.0,61.0,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,2.0,2.0,,12.0,8.0
,"7 Place Salvador Allende, 94000 Cr?teil, France",Unknown,750,,,25.0,,,2.0,1.0,,20.0,,,,,,,,,,40.0,,,,,2.0,2330.0,,,50.0,2.0,1.0,5.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,222.0,3.0,,11.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,5.0,,,,,,,,,29.0,,,,,,,1.0,,,,,,,,,,,,
Greece,"Agia Galini, Crete (port)",Mediterranean Sea,84,Rocky,,9.0,,,31.0,,,7.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Italy,"Spiaggia della Bandita, Palermo (PA)",Mediterranean Sea,100,,,30.0,,,,300.0,50.0,,,,10.0,,,,1.0,10.0,15.0,50.0,,,,,3.0,100.0,,,14.0,,15.0,50.0,30.0,,,,,2.0,,,,,,,,,,3.0,3.0,1.0,,25.0,1.0,,,,,,,,,,,30.0,,5.0,1.0,10.0,10.0,,,,,,,,,,,,,,4.0,,,,1.0,3.0
France,"12 Promenade Pierre D?port, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,10.0,,,,10.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,,,,,1.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,
