Country,2017,2018,2019,2020,2021
Albania,16481,18094,18500,20157,19828
Algeria,153459,144421,157950,175154,180214
Angola,48632,50225,52877,54660,55728
Antigua and Barbuda,175,185,172,144,151
Argentina,4135,4473,4847,5804,6262
Australia,2522,2498,2920,2857,2754
Bahamas,217,193,179,159,149
Bahrain,189,197,204,213,212
Bangladesh,289594,297832,315751,328407,355502
Barbados,308,303,302,297,302
Belgium,24,19,16,23,22
Belize,14421,14955,15383,16134,16390
Benin,29451,30816,32298,32843,33554
Brazil,583089,602121,639659,638401,634888
Brunei Darussalam,650,746,797,714,733
Bulgaria,90,139,121,148,120
Cabo Verde,821,892,975,963,996
Cambodia,1875,2149,2212,2342,2240
Cameroon,62408,65253,67708,69544,70773
Canada,367,431,421,398,449
Chile,1212,1277,1447,1669,1950
China,2290405,2498228,2683611,2777198,2622299
Colombia,41534,45388,47505,45131,47917
Comoros,23664,23771,24690,24046,25582
Congo,8585,9074,9476,9595,9851
Costa Rica,3992,4343,4384,4420,4719
Cote d'Ivoire,53881,55603,57394,58930,60457
Croatia,3437,3976,3963,4153,4007
Cyprus,128,128,123,142,143
Democratic People's Republic of Korea,8780,7865,8873,9765,9741
Democratic Republic of the Congo,138,142,149,154,161
Denmark,141,121,125,144,140
Djibouti,2827,3101,3401,3079,3352
Dominica,338,370,408,377,382
Dominican Republic,75791,79838,83120,76807,77384
Ecuador,27519,28725,29678,30727,31530
Egypt,222297,209725,208319,226065,231991
El Salvador,7532,7382,7504,9136,9761
Equatorial Guinea,4904,5130,5328,5464,5477
Eritrea,4850,4917,5677,5231,5918
Estonia,127,133,125,147,126
Fiji,2060,1987,2340,2391,2253
Finland,380,383,397,436,374
France,1136,1104,1105,1257,1257
Gabon,2025,2123,2199,2256,2305
Gambia,10135,11411,12178,12875,13960
Georgia,315,423,424,464,439
Germany,1928,1696,1899,2071,2082
Ghana,98997,103099,107906,109255,114306
Greece,26962,27021,25983,29143,29349
Grenada,533,535,553,565,595
Guatemala,21123,20626,19015,20833,22038
Guinea,23307,24402,25167,26011,26610
Guinea-Bissau,9397,10523,10819,11295,11830
Guyana,14021,15418,15235,13978,14887
Haiti,73756,76940,84237,81969,84912
Honduras,25202,25652,26859,28464,28311
Iceland,9,14,15,19,16
India,861003,928154,966437,990595,1056001
Indonesia,512163,559428,599014,514480,535163
Iran (Islamic Republic of),9780,10281,10750,11172,11269
Ireland,543,551,508,556,506
Israel,2416,2263,2368,2558,2598
Italy,5748,5627,5930,6808,6761
Jamaica,15047,15283,16260,16467,16981
Japan,3182,3126,3208,3077,2931
Kenya,7266,7669,7941,7403,8055
Kiribati,16,16,16,16,18
Kuwait,11706,12490,12740,13079,13141
Latvia,196,183,211,213,199
Lebanon,19799,19062,19419,21415,21964
Liberia,13202,13685,14220,14729,15030
Libya,74196,72565,73477,81878,80149
Lithuania,70,61,72,72,70
Madagascar,1991,2108,2132,2247,2291
Malaysia,294932,321731,332752,328763,339437
Maldives,102,108,102,95,115
Malta,97,89,107,110,106
Mauritania,2471,2671,2845,2875,3002
Mauritius,50,49,53,58,57
Mexico,29054,29349,31004,33514,35359
Micronesia (Federated States of),148,167,167,181,183
Montenegro,1599,1768,1804,1928,1965
Morocco,36224,38348,44086,42304,44650
Mozambique,67216,68997,72578,73396,74006
Myanmar,186365,200820,209493,215575,230387
Namibia,334,380,387,406,435
Netherlands,7406,6135,6488,7261,7551
New Zealand,115,109,109,100,85
Nicaragua,14843,15511,15199,17465,19107
Nigeria,456575,477534,496837,510822,517377
Norway,137,138,130,171,156
Oman,223,237,258,271,260
Pakistan,51192,54530,53640,56223,57441
Palau,37,37,41,53,47
Panama,14069,14750,16346,16575,17849
Papua New Guinea,31627,33149,36164,38027,37386
Peru,36114,37769,39863,40715,40264
Philippines,1416321,1572329,1695243,1703846,1631062
Poland,434,377,439,441,455
Portugal,477,610,702,698,648
Qatar,793,832,868,890,910
Republic of Korea,2739,2366,2865,3200,3406
Romania,1267,1971,1825,1972,1777
Russian Federation,19921,20007,20769,22549,21446
Saint Kitts and Nevis,26,27,29,24,23
Saint Lucia,1554,1555,1591,1538,1639
Saint Vincent and the Grenadines,426,456,466,488,477
Samoa,753,719,809,784,788
Sao Tome and Principe,1163,1174,1255,1283,1332
Saudi Arabia,3735,3931,4099,4199,4377
Senegal,16530,18402,19569,20062,22147
Seychelles,20,22,23,21,22
Sierra Leone,21909,22893,23826,24562,24860
Solomon Islands,23945,24806,27939,28514,30405
Somalia,2064,2136,2371,2151,2296
South Africa,22487,24281,30352,31931,31862
Spain,5137,4962,5708,5827,6288
Sri Lanka,37725,39160,41648,40800,45035
Sudan,10176,10679,11308,11249,11847
Suriname,10450,11657,11589,10135,11041
Sweden,533,471,514,587,546
Syrian Arab Republic,3010,2792,3019,3197,3339
Thailand,288247,326310,338682,345754,349148
Timor-Leste,5179,5810,6238,6094,6093
Togo,29260,30301,31773,32647,33189
Tonga,229,236,246,251,232
Trinidad and Tobago,31615,32188,35244,33384,35383
Tunisia,90765,87293,89175,99877,96337
Turkey,336150,377678,354437,404409,392369
Ukraine,20963,27860,25859,28229,26622
United Arab Emirates,2450,2599,2659,2744,2798
United Kingdom of Great Britain and Northern Ireland,6695,6359,6242,6821,6500
United Republic of Tanzania,115062,115288,114736,111054,120901
United States of America,15630,16437,16909,17131,17744
Uruguay,77417,86096,94544,110834,120598
Vanuatu,868,841,997,975,931
Venezuela (Bolivarian Republic of),209928,224320,231129,227809,240071
Viet Nam,421669,449326,484452,493432,499309
Yemen,30194,34205,35625,36032,36954
