,BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
0,Bulgaria,krapetz,Black Sea,5850,Sandy,,,1.0,,8.0,31.0,2.0,4.0,,1.0,,1.0,,,,,,,16.0,3.0,13.0,,2.0,25.0,1.0,,5.0,1.0,6.0,43.0,2.0,4.0,5.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,7.0,6.0,6.0,10.0,1.0,,,,,,,4.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,3.0,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,5.0,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,4.0,,3.0,,,3.0,,1.0,
1,Bulgaria,krapetz,Black Sea,5850,Sandy,,12.0,1.0,,10.0,9.0,,2.0,3.0,,,1.0,,,,,,22.0,,28.0,2.0,20.0,4.0,474.0,1.0,,12.0,2.0,1.0,29.0,,9.0,6.0,5.0,,,,,,,,,2.0,8.0,,,1.0,,,,,,3.0,,,2.0,,13.0,2.0,,,1.0,,1.0,204.0,9.0,8.0,,8.0,,,,,,,7.0,,,1.0,,6.0,3.0,,,,,,1.0,21.0,,,,1.0,,,,,2.0,,2.0,,1.0,1.0,,5.0,,,15.0,1.0,2.0,2.0,,4.0,5.0,2.0,,7.0,20.0,1.0,,4.0,,,,2.0,,,3.0,,2.0,2.0,1.0,3.0,4.0,,,,,,,,,,,1.0,,,,2.0,,3.0,1.0,1.0,,2.0,,,,7.0,3.0,,
2,Bulgaria,krapetz,Black Sea,5850,Sandy,,27.0,7.0,,3.0,8.0,1.0,9.0,,1.0,,,,,,,,8.0,,12.0,11.0,5.0,2.0,42.0,,,11.0,1.0,3.0,,1.0,6.0,,,,,,,,,,,,4.0,,1.0,,1.0,,,,,,,,,,2.0,,,,2.0,,,34.0,4.0,,,,,,,,,,1.0,,,,,1.0,,,,,2.0,,,,,,,,3.0,1.0,,,2.0,,,,,,,,,,3.0,,,1.0,1.0,3.0,2.0,4.0,,8.0,,,,,,,,,,,,5.0,2.0,2.0,,,3.0,,,,,,,,1.0,,,,,,,,,2.0,2.0,,,5.0,,,,2.0,,2.0,1.0
3,Bulgaria,krapetz,Black Sea,5850,Sandy,,15.0,60.0,,18.0,46.0,,9.0,10.0,5.0,,,5.0,1.0,,,,63.0,6.0,102.0,,2.0,5.0,407.0,1.0,,86.0,,3.0,49.0,4.0,6.0,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,1.0,,3.0,,,,4.0,,,30.0,,38.0,2.0,,,,,,,,10.0,2.0,,,,1.0,,,1.0,2.0,,,5.0,10.0,,,,,2.0,,4.0,,3.0,3.0,4.0,1.0,,,,6.0,,,5.0,,9.0,2.0,4.0,9.0,11.0,,,35.0,3.0,,,,,,,,,,,,,9.0,2.0,,14.0,,,,3.0,,3.0,,,,,1.0,,,1.0,,,6.0,3.0,5.0,,2.0,,,,5.0,26.0,,
4,Italy,San Mauro Cilento (SA),Unknown,100,,,5.0,6.0,,13.0,19.0,13.0,6.0,4.0,2.0,,,2.0,3.0,3.0,2.0,1.0,98.0,37.0,8.0,27.0,2.0,4.0,16.0,2.0,3.0,,7.0,6.0,15.0,7.0,2.0,,,,,1.0,,,,,,2.0,8.0,,4.0,2.0,4.0,2.0,,1.0,1.0,4.0,,,1.0,1.0,,,,1.0,2.0,,1.0,,,74.0,1.0,62.0,3.0,,,,,,3.0,,,,,12.0,,,,,2.0,,1.0,,,2.0,1.0,1.0,,,,,,3.0,,1.0,,,,,,,,1.0,3.0,,,4.0,,6.0,,32.0,11.0,,,4.0,,,18.0,,,,,,4.0,14.0,27.0,,4.0,,,,,,,,,,,,,1.0,,,1.0,4.0,,,,,,,,3.0,,2.0,
5,Italy,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",Mediterranean Sea,100,,,,15.0,,33.0,28.0,6.0,5.0,,4.0,,3.0,1.0,,1.0,,,117.0,,,,,4.0,2.0,4.0,,,,,,10.0,,,,,,,,,,,,,,,,2116.0,,,,1.0,61.0,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,2.0,2.0,,12.0,8.0,,,2.0,,,,,,,,,103.0,22.0,,5.0,,5.0,,,,2.0,,,10.0,,,348.0,,21.0,,,1.0,,,,,,,1.0,21.0,,15.0,1.0,16.0,2.0,,1.0,1.0,,,,,,,,,,,15.0,,,,1.0,54.0,,,22.0,,,,,,,1.0,,
6,,"7 Place Salvador Allende, 94000 Cr?teil, France",Unknown,750,,,25.0,,,2.0,1.0,,20.0,,,,,,,,,,40.0,,,,,2.0,2330.0,,,50.0,2.0,1.0,5.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,121.0,,,,,,,,,,,,,,,78.0,,1.0,,,,,,,,12.0,,,0.0
7,Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,222.0,3.0,,11.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,5.0,,,,,,,,,29.0,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,4.0,,,,,,,,1.0,4.0,,,,,2.0,,,1.0,14.0,,,,,,,,8.0,,,1.0,,,,,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
8,Greece,"Agia Galini, Crete (port)",Mediterranean Sea,84,Rocky,,9.0,,,31.0,,,7.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,
9,Italy,"Spiaggia della Bandita, Palermo (PA)",Mediterranean Sea,100,,,30.0,,,,300.0,50.0,,,,10.0,,,,1.0,10.0,15.0,50.0,,,,,3.0,100.0,,,14.0,,15.0,50.0,30.0,,,,,2.0,,,,,,,,,,3.0,3.0,1.0,,25.0,1.0,,,,,,,,,,,30.0,,5.0,1.0,10.0,10.0,,,,,,,,,,,,,,4.0,,,,1.0,3.0,,,2.0,,,2.0,4.0,,,,,,30.0,15.0,,,,,,,,10.0,5.0,,,5.0,15.0,,4.0,,,,,,,,,,,,,1.0,10.0,,60.0,,,,,5.0,,,,,,,,,1.0,,,,,,50.0,,,,50.0,,,,,,,
