
Country Name, Tons Exported, End in the Ocean, End in the beach, 
albania, 11718, 3257.0, 8462.0 
,,,,Tons to Egypt, 3197.0,From Albania, 60.0,
,,,,Tons to Libya, 2314.0,From Montenegro, 11.0,
,,,,Tons to Italy, 1479.0,From Algeria, 4.0,
,,,,Tons to Israel, 391.0,From Greece, 4.0,
,,,,Tons to Syria, 303.0,From Croatia, 3.0,
,,,,Tons to Lebanon, 185.0,From Ukraine, 3.0,
,,,,Tons to Tunisia, 140.0,From Italy, 1.0,
,,,,Tons to Croatia, 117.0,From Tunisia, 0.0,
,,,,Tons to Turkey, 93.0,From Libya, 0.0,
,,,,Tons to Cyprus, 86.0,From Spain, 0.0,
,,,,Tons to Albania, 60.0,
,,,,Tons to Greece, 44.0,
,,,,Tons to Northern Cyprus, 37.0,
,,,,Tons to Palestina, 8.0,
,,,,Tons to Montenegro, 7.0,
,,,,Tons to Akrotiri and Dhekelia, 1.0,
,,,,Tons to Bosnia and Herzegovina, 1.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
algeria, 100568, 28034.0, 72535.0 
,,,,Tons to Libya, 20126.0,From Algeria, 5666.0,
,,,,Tons to Egypt, 17413.0,From Morocco, 979.0,
,,,,Tons to Tunisia, 13447.0,From Spain, 210.0,
,,,,Tons to Italy, 9854.0,From Tunisia, 68.0,
,,,,Tons to Algeria, 5666.0,From Italy, 16.0,
,,,,Tons to Israel, 1554.0,From United States, 9.0,
,,,,Tons to Syria, 1294.0,From Venezuela, 7.0,
,,,,Tons to Spain, 803.0,From France, 6.0,
,,,,Tons to Lebanon, 793.0,From Jamaica, 3.0,
,,,,Tons to Turkey, 349.0,From Trinidad and Tobago, 2.0,
,,,,Tons to Cyprus, 328.0,From Gibraltar, 2.0,
,,,,Tons to Morocco, 286.0,From Dominican Republic, 2.0,
,,,,Tons to France, 199.0,From Cape Verde, 1.0,
,,,,Tons to Greece, 189.0,From Portugal, 1.0,
,,,,Tons to Northern Cyprus, 148.0,From Haiti, 0.0,
,,,,Tons to Palestina, 55.0,
,,,,Tons to Vatican City, 10.0,
,,,,Tons to Akrotiri and Dhekelia, 8.0,
,,,,Tons to Croatia, 6.0,
,,,,Tons to Albania, 4.0,
,,,,Tons to Malta, 2.0,
,,,,Tons to Jordan, 1.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
angola, 20827, 172.0, 20656.0 
,,,,Tons to Angola, 14645.0,From Angola, 14645.0,
,,,,Tons to Cameroon, 1809.0,From Republic of Congo, 81.0,
,,,,Tons to Gabon, 1402.0,From Namibia, 19.0,
,,,,Tons to Republic of Congo, 956.0,From Democratic Republic of the Congo, 9.0,
,,,,Tons to Côte d'Ivoire, 463.0,From South Africa, 1.0,
,,,,Tons to Nigeria, 353.0,From São Tomé and Príncipe, 0.0,
,,,,Tons to Liberia, 330.0,
,,,,Tons to Brazil, 195.0,
,,,,Tons to Sierra Leone, 96.0,
,,,,Tons to Equatorial Guinea, 69.0,
,,,,Tons to Democratic Republic of the Congo, 66.0,
,,,,Tons to Ghana, 53.0,
,,,,Tons to Mexico, 38.0,
,,,,Tons to Guinea, 37.0,
,,,,Tons to United States, 21.0,
,,,,Tons to Guyana, 17.0,
,,,,Tons to Belize, 15.0,
,,,,Tons to Venezuela, 15.0,
,,,,Tons to Panama, 10.0,
,,,,Tons to Dominican Republic, 8.0,
,,,,Tons to Benin, 8.0,
,,,,Tons to Ireland, 6.0,
,,,,Tons to Trinidad and Tobago, 6.0,
,,,,Tons to United Kingdom, 6.0,
,,,,Tons to French Guiana, 6.0,
,,,,Tons to France, 5.0,
,,,,Tons to Honduras, 5.0,
,,,,Tons to Guatemala, 5.0,
,,,,Tons to Jamaica, 3.0,
,,,,Tons to Cuba, 2.0,
,,,,Tons to São Tomé and Príncipe, 2.0,
,,,,Tons to Morocco, 2.0,
,,,,Tons to Guinea-Bissau, 1.0,
,,,,Tons to Suriname, 0.0,
,,,,Tons to Nicaragua, 0.0,
,,,,Tons to Western Sahara, 0.0,
,,,,Tons to Spain, 0.0,
,,,,Tons to Germany, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
antigua and barbuda, 157, 80.0, 77.0 
,,,,Tons to Cuba, 19.0,
,,,,Tons to Dominican Republic, 17.0,
,,,,Tons to United States, 14.0,
,,,,Tons to Mexico, 4.0,
,,,,Tons to France, 4.0,
,,,,Tons to Haiti, 4.0,
,,,,Tons to Puerto Rico, 3.0,
,,,,Tons to United Kingdom, 2.0,
,,,,Tons to Bahamas, 2.0,
,,,,Tons to Guatemala, 1.0,
,,,,Tons to Belize, 1.0,
,,,,Tons to Portugal, 1.0,
,,,,Tons to Germany, 0.0,
,,,,Tons to Spain, 0.0,
,,,,Tons to Guinea-Bissau, 0.0,
,,,,Tons to Greenland, 0.0,
,,,,Tons to Honduras, 0.0,
,,,,Tons to Ireland, 0.0,
,,,,Tons to Libya, 0.0,
,,,,Tons to Morocco, 0.0,
,,,,Tons to Nicaragua, 0.0,
,,,,Tons to Russia, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
argentina, 8088, 6283.0, 1804.0 
,,,,Tons to Argentina, 1442.0,From Uruguay, 30358.0,
,,,,Tons to Uruguay, 67.0,From Argentina, 1442.0,
,,,,Tons to Madagascar, 46.0,From Brazil, 201.0,
,,,,Tons to South Africa, 46.0,From Chile, 8.0,
,,,,Tons to Australia, 44.0,From Malaysia, 1.0,
,,,,Tons to Brazil, 42.0,From Mozambique, 0.0,
,,,,Tons to Mozambique, 41.0,From Madagascar, 0.0,
,,,,Tons to Falkland Islands, 39.0,
,,,,Tons to New Zealand, 8.0,
,,,,Tons to Tanzania, 6.0,
,,,,Tons to Mauritius, 6.0,
,,,,Tons to India, 4.0,
,,,,Tons to Kenya, 3.0,
,,,,Tons to Indonesia, 3.0,
,,,,Tons to Chile, 2.0,
,,,,Tons to Reunion, 1.0,
,,,,Tons to Yemen, 1.0,
,,,,Tons to Myanmar, 1.0,
,,,,Tons to Thailand, 1.0,
,,,,Tons to Somalia, 0.0,
,,,,Tons to Oman, 0.0,
,,,,Tons to Sri Lanka, 0.0,
,,,,Tons to Bangladesh, 0.0,
,,,,Tons to Saudi Arabia, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
australia, 1623, 432.0, 1192.0 
,,,,Tons to Papua New Guinea, 391.0,From Solomon Islands, 3350.0,
,,,,Tons to Australia, 381.0,From Philippines, 1612.0,
,,,,Tons to Indonesia, 246.0,From South Africa, 1340.0,
,,,,Tons to New Zealand, 67.0,From Indonesia, 1168.0,
,,,,Tons to Madagascar, 15.0,From Peru, 873.0,
,,,,Tons to Kenya, 11.0,From Papua New Guinea, 849.0,
,,,,Tons to Mozambique, 10.0,From Mozambique, 634.0,
,,,,Tons to Saudi Arabia, 8.0,From Fiji, 568.0,
,,,,Tons to Philippines, 8.0,From Brazil, 565.0,
,,,,Tons to Tanzania, 7.0,From Australia, 381.0,
,,,,Tons to India, 6.0,From Vanuatu, 235.0,
,,,,Tons to South Africa, 5.0,From Samoa, 174.0,
,,,,Tons to Vietnam, 5.0,From Chile, 164.0,
,,,,Tons to Myanmar, 4.0,From Panama, 148.0,
,,,,Tons to Chile, 4.0,From Malaysia, 137.0,
