2017,2018,2019,2020,2021
16481.0,18094.0,18500.0,20157.0,19828.0
153459.0,144421.0,157950.0,175154.0,180214.0
48632.0,50225.0,52877.0,54660.0,55728.0
175.0,185.0,172.0,144.0,151.0
4135.0,4473.0,4847.0,5804.0,6262.0
2522.0,2498.0,2920.0,2857.0,2754.0
217.0,193.0,179.0,159.0,149.0
189.0,197.0,204.0,213.0,212.0
289594.0,297832.0,315751.0,328407.0,355502.0
308.0,303.0,302.0,297.0,302.0
24.0,19.0,16.0,23.0,22.0
14421.0,14955.0,15383.0,16134.0,16390.0
29451.0,30816.0,32298.0,32843.0,33554.0
583089.0,602121.0,639659.0,638401.0,634888.0
650.0,746.0,797.0,714.0,733.0
90.0,139.0,121.0,148.0,120.0
821.0,892.0,975.0,963.0,996.0
1875.0,2149.0,2212.0,2342.0,2240.0
62408.0,65253.0,67708.0,69544.0,70773.0
367.0,431.0,421.0,398.0,449.0
1212.0,1277.0,1447.0,1669.0,1950.0
2290405.0,2498228.0,2683611.0,2777198.0,2622299.0
41534.0,45388.0,47505.0,45131.0,47917.0
23664.0,23771.0,24690.0,24046.0,25582.0
8585.0,9074.0,9476.0,9595.0,9851.0
3992.0,4343.0,4384.0,4420.0,4719.0
53881.0,55603.0,57394.0,58930.0,60457.0
3437.0,3976.0,3963.0,4153.0,4007.0
128.0,128.0,123.0,142.0,143.0
8780.0,7865.0,8873.0,9765.0,9741.0
138.0,142.0,149.0,154.0,161.0
141.0,121.0,125.0,144.0,140.0
2827.0,3101.0,3401.0,3079.0,3352.0
338.0,370.0,408.0,377.0,382.0
75791.0,79838.0,83120.0,76807.0,77384.0
27519.0,28725.0,29678.0,30727.0,31530.0
222297.0,209725.0,208319.0,226065.0,231991.0
7532.0,7382.0,7504.0,9136.0,9761.0
4904.0,5130.0,5328.0,5464.0,5477.0
4850.0,4917.0,5677.0,5231.0,5918.0
127.0,133.0,125.0,147.0,126.0
2060.0,1987.0,2340.0,2391.0,2253.0
380.0,383.0,397.0,436.0,374.0
1136.0,1104.0,1105.0,1257.0,1257.0
2025.0,2123.0,2199.0,2256.0,2305.0
10135.0,11411.0,12178.0,12875.0,13960.0
315.0,423.0,424.0,464.0,439.0
1928.0,1696.0,1899.0,2071.0,2082.0
98997.0,103099.0,107906.0,109255.0,114306.0
26962.0,27021.0,25983.0,29143.0,29349.0
533.0,535.0,553.0,565.0,595.0
21123.0,20626.0,19015.0,20833.0,22038.0
23307.0,24402.0,25167.0,26011.0,26610.0
9397.0,10523.0,10819.0,11295.0,11830.0
14021.0,15418.0,15235.0,13978.0,14887.0
73756.0,76940.0,84237.0,81969.0,84912.0
25202.0,25652.0,26859.0,28464.0,28311.0
9.0,14.0,15.0,19.0,16.0
861003.0,928154.0,966437.0,990595.0,1056001.0
512163.0,559428.0,599014.0,514480.0,535163.0
9780.0,10281.0,10750.0,11172.0,11269.0
543.0,551.0,508.0,556.0,506.0
2416.0,2263.0,2368.0,2558.0,2598.0
5748.0,5627.0,5930.0,6808.0,6761.0
15047.0,15283.0,16260.0,16467.0,16981.0
3182.0,3126.0,3208.0,3077.0,2931.0
7266.0,7669.0,7941.0,7403.0,8055.0
16.0,16.0,16.0,16.0,18.0
11706.0,12490.0,12740.0,13079.0,13141.0
196.0,183.0,211.0,213.0,199.0
19799.0,19062.0,19419.0,21415.0,21964.0
13202.0,13685.0,14220.0,14729.0,15030.0
74196.0,72565.0,73477.0,81878.0,80149.0
70.0,61.0,72.0,72.0,70.0
1991.0,2108.0,2132.0,2247.0,2291.0
294932.0,321731.0,332752.0,328763.0,339437.0
102.0,108.0,102.0,95.0,115.0
97.0,89.0,107.0,110.0,106.0
2471.0,2671.0,2845.0,2875.0,3002.0
50.0,49.0,53.0,58.0,57.0
29054.0,29349.0,31004.0,33514.0,35359.0
148.0,167.0,167.0,181.0,183.0
1599.0,1768.0,1804.0,1928.0,1965.0
36224.0,38348.0,44086.0,42304.0,44650.0
67216.0,68997.0,72578.0,73396.0,74006.0
186365.0,200820.0,209493.0,215575.0,230387.0
334.0,380.0,387.0,406.0,435.0
7406.0,6135.0,6488.0,7261.0,7551.0
115.0,109.0,109.0,100.0,85.0
14843.0,15511.0,15199.0,17465.0,19107.0
456575.0,477534.0,496837.0,510822.0,517377.0
137.0,138.0,130.0,171.0,156.0
223.0,237.0,258.0,271.0,260.0
51192.0,54530.0,53640.0,56223.0,57441.0
37.0,37.0,41.0,53.0,47.0
