Entity,Code,Year,Mismanaged plastic waste (metric tons year-1)
Africa,,2019,13690104
Albania,ALB,2019,69833
Algeria,DZA,2019,764578
Angola,AGO,2019,236946
Antigua and Barbuda,ATG,2019,627
Argentina,ARG,2019,465808
Asia,,2019,39881167
Australia,AUS,2019,5266
Bahamas,BHS,2019,2212
Bahrain,BHR,2019,1043
Bangladesh,BGD,2019,1021990
Barbados,BRB,2019,872
Belgium,BEL,2019,2284
Belize,BLZ,2019,6021
Benin,BEN,2019,133335
Bosnia and Herzegovina,BIH,2019,55551
Brazil,BRA,2019,3296700
Brunei,BRN,2019,692
Bulgaria,BGR,2019,3117
Burkina Faso,BFA,2019,317298
Cambodia,KHM,2019,247495
Cameroon,CMR,2019,578798
Canada,CAN,2019,23587
Cape Verde,CPV,2019,3568
Chile,CHL,2019,30767
China,CHN,2019,12272200
Colombia,COL,2019,85454
Comoros,COM,2019,59158
Congo,COG,2019,65291
Costa Rica,CRI,2019,5751
Cote d'Ivoire,CIV,2019,291614
Croatia,HRV,2019,17544
Cyprus,CYP,2019,837
Democratic Republic of Congo,COD,2019,1369730
Denmark,DNK,2019,390
Djibouti,DJI,2019,10289
Dominica,DMA,2019,1082
Dominican Republic,DOM,2019,194018
EU-27,,2019,266588
Ecuador,ECU,2019,108797
Egypt,EGY,2019,1435510
El Salvador,SLV,2019,21693
Equatorial Guinea,GNQ,2019,9403
Eritrea,ERI,2019,84088
Estonia,EST,2019,600
Europe,,2019,1180718
Fiji,FJI,2019,3858
Finland,FIN,2019,2621
France,FRA,2019,27780
French Guiana,GUF,2019,126
Gabon,GAB,2019,5991
Gambia,GMB,2019,35095
Georgia,GEO,2019,307
Germany,DEU,2019,50676
Ghana,GHA,2019,520002
Greece,GRC,2019,4506
Grenada,GRD,2019,1357
Guadeloupe,GLP,2019,162
Guatemala,GTM,2019,311003
Guinea,GIN,2019,147997
Guinea-Bissau,GNB,2019,20465
Guyana,GUY,2019,27565
Haiti,HTI,2019,237968
Honduras,HND,2019,145995
Hong Kong,HKG,2019,5781
Iceland,ISL,2019,151
India,IND,2019,12994100
Indonesia,IDN,2019,824234
Iran,IRN,2019,495965
Iraq,IRQ,2019,491771
Ireland,IRL,2019,2675
Israel,ISR,2019,6060
Italy,ITA,2019,38803
Jamaica,JAM,2019,49673
Japan,JPN,2019,35684
Jordan,JOR,2019,124425
Kazakhstan,KAZ,2019,54242
Kenya,KEN,2019,289917
Kiribati,KIR,2019,74
Kuwait,KWT,2019,2640
Latvia,LVA,2019,955
Lebanon,LBN,2019,46622
Lesotho,LSO,2019,30391
Liberia,LBR,2019,39930
Libya,LBY,2019,188535
Lithuania,LTU,2019,1037
Macau,,2019,14749
Madagascar,MDG,2019,25250
Malaysia,MYS,2019,814454
Maldives,MDV,2019,60
Malta,MLT,2019,259
Marshall Islands,MHL,2019,16
Martinique,MTQ,2019,139
Mauritania,MRT,2019,20796
Mauritius,MUS,2019,299
Mexico,MEX,2019,430614
Micronesia,,2019,447
Monaco,MCO,2019,5
Montenegro,MNE,2019,16
Morocco,MAR,2019,295488
Mozambique,MOZ,2019,434432
Myanmar,MMR,2019,434432
Namibia,NAM,2019,20892
Netherlands,NLD,2019,15233
New Zealand,NZL,2019,1714
Nicaragua,NIC,2019,110862
Nigeria,NGA,2019,1948950
North America,,2019,1927484
North Korea,PRK,2019,322
Norway,NOR,2019,1494
Oceania,,2019,136506
Oman,OMN,2019,1251
Pakistan,PAK,2019,1346460
Palau,PLW,2019,116
Palestine,PSE,2019,2129
Panama,PAN,2019,36339
Papua New Guinea,PNG,2019,119538
Peru,PER,2019,140313
Philippines,PHL,2019,4025300
Poland,POL,2019,14124
Portugal,PRT,2019,3818
Puerto Rico,PRI,2019,1293
Qatar,QAT,2019,1532
Reunion,REU,2019,233
Romania,ROU,2019,52161
Russia,RUS,2019,363389
Saint Kitts and Nevis,KNA,2019,97
Saint Lucia,LCA,2019,4276
Saint Martin,,2019,8
Saint Vincent and the Grenadines,VCT,2019,1235
Samoa,WSM,2019,1738
Sao Tome and Principe,STP,2019,2069
Saudi Arabia,SAU,2019,7176
Senegal,SEN,2019,65660
Seychelles,SYC,2019,33
Sierra Leone,SLE,2019,91239
Singapore,SGP,2019,2468
Sint Maarten,,2019,3
Slovakia,SVK,2019,1719
Slovenia,SVN,2019,844
Solomon Islands,SLB,2019,3520
Somalia,SOM,2019,42
South Africa,ZAF,2019,708467
South America,,2019,4942514
South Korea,KOR,2019,12156
Spain,ESP,2019,20350
Sri Lanka,LKA,2019,155466
Sudan,SDN,2019,781625
Suriname,SUR,2019,22933
Sweden,SWE,2019,4255
Syria,SYR,2019,502
Taiwan,TWN,2019,7502
Tanzania,TZA,2019,1716400
Thailand,THA,2019,1361690
Timor,TLS,2019,17244
Togo,TGO,2019,121783
Tonga,TON,2019,666
Trinidad and Tobago,TTO,2019,73139
Tunisia,TUN,2019,289538
Turkey,TUR,2019,1656110
Ukraine,UKR,2019,393777
United Arab Emirates,ARE,2019,5135
United Kingdom,GBR,2019,29914
United States,USA,2019,267469
Uruguay,URY,2019,92620
Venezuela,VEN,2019,671431
Vietnam,VNM,2019,1112790
Western Sahara,ESH,2019,4114
World,OWID_WRL,2019,61773700
Yemen,YEM,2019,291737
Zimbabwe,ZWE,2019,524865
